case_id,prefix,k,next_act
1-382209384,accepted accepted,1,accepted
1-384097130,accepted accepted,1,accepted
1-385201933,accepted queued,1,accepted
1-385201933,accepted queued accepted,2,accepted
1-385201933,accepted queued accepted accepted,3,accepted
1-385201933,accepted queued accepted accepted accepted,4,completed
1-390250582,accepted accepted,1,accepted
1-390250582,accepted accepted accepted,2,accepted
1-390722958,accepted accepted,1,accepted
1-390722958,accepted accepted accepted,2,completed
1-404005175,accepted accepted,1,completed
1-404084309,accepted accepted,1,accepted
1-404084309,accepted accepted accepted,2,completed
1-404736991,accepted accepted,1,accepted
1-404736991,accepted accepted accepted,2,accepted
1-404736991,accepted accepted accepted accepted,3,accepted
1-404736991,accepted accepted accepted accepted accepted,4,accepted
1-404736991,accepted accepted accepted accepted accepted accepted,5,accepted
1-404736991,accepted accepted accepted accepted accepted accepted accepted,6,completed
1-413205820,accepted accepted,1,queued
1-413205820,accepted accepted queued,2,accepted
1-413205820,accepted accepted queued accepted,3,accepted
1-413205820,accepted accepted queued accepted accepted,4,completed
1-415000020,accepted queued,1,accepted
1-415000020,accepted queued accepted,2,accepted
1-415000020,accepted queued accepted accepted,3,accepted
1-415000020,accepted queued accepted accepted accepted,4,completed
1-415822336,accepted accepted,1,queued
1-415822336,accepted accepted queued,2,queued
1-415822336,accepted accepted queued queued,3,queued
1-415822336,accepted accepted queued queued queued,4,accepted
1-415822336,accepted accepted queued queued queued accepted,5,accepted
1-422418092,accepted queued,1,accepted
1-422418092,accepted queued accepted,2,accepted
1-427955007,accepted accepted,1,accepted
1-427955007,accepted accepted accepted,2,accepted
1-427955007,accepted accepted accepted accepted,3,completed
1-429498598,accepted accepted,1,completed
1-430880486,accepted accepted,1,completed
1-433910332,accepted accepted,1,accepted
1-433910332,accepted accepted accepted,2,accepted
1-433910332,accepted accepted accepted accepted,3,accepted
1-433910332,accepted accepted accepted accepted accepted,4,accepted
1-433910332,accepted accepted accepted accepted accepted accepted,5,accepted
1-439833168,accepted accepted,1,completed
1-443175071,accepted accepted,1,completed
1-473084325,queued queued,1,queued
1-473084325,queued queued queued,2,queued
1-473084325,queued queued queued queued,3,accepted
1-473084325,queued queued queued queued accepted,4,accepted
1-473084325,queued queued queued queued accepted accepted,5,completed
1-479002951,accepted accepted,1,completed
1-489198755,accepted accepted,1,completed
1-498324124,accepted accepted,1,accepted
1-502769178,accepted accepted,1,accepted
1-502769178,accepted accepted accepted,2,queued
1-510142147,accepted accepted,1,completed
1-512617571,accepted accepted,1,accepted
1-512617571,accepted accepted accepted,2,accepted
1-512617571,accepted accepted accepted accepted,3,accepted
1-512617571,accepted accepted accepted accepted accepted,4,completed
1-514618724,accepted accepted,1,accepted
1-514618724,accepted accepted accepted,2,completed
1-515461174,accepted accepted,1,accepted
1-515461174,accepted accepted accepted,2,completed
1-520127960,accepted accepted,1,completed
1-520705880,accepted accepted,1,completed
1-524375607,accepted accepted,1,accepted
1-524375607,accepted accepted accepted,2,completed
1-527208576,accepted accepted,1,completed
1-531872604,accepted accepted,1,queued
1-535418135,accepted accepted,1,accepted
1-535418135,accepted accepted accepted,2,accepted
1-535418135,accepted accepted accepted accepted,3,completed
1-535439201,accepted accepted,1,completed
1-539083171,accepted accepted,1,completed
1-539805130,accepted accepted,1,completed
1-542027112,accepted accepted,1,accepted
1-542027112,accepted accepted accepted,2,accepted
1-542940765,accepted accepted,1,queued
1-542940765,accepted accepted queued,2,accepted
1-542940765,accepted accepted queued accepted,3,queued
1-542940765,accepted accepted queued accepted queued,4,accepted
1-542940765,accepted accepted queued accepted queued accepted,5,completed
1-543300099,accepted accepted,1,accepted
1-545738536,accepted accepted,1,accepted
1-545911672,queued accepted,1,completed
1-546838031,queued queued,1,accepted
1-546838031,queued queued accepted,2,accepted
1-546838031,queued queued accepted accepted,3,completed
1-547617088,accepted accepted,1,accepted
1-547617088,accepted accepted accepted,2,accepted
1-547617088,accepted accepted accepted accepted,3,completed
1-560404489,accepted queued,1,queued
1-560404489,accepted queued queued,2,accepted
1-560404489,accepted queued queued accepted,3,accepted
1-560404489,accepted queued queued accepted accepted,4,accepted
1-560404489,accepted queued queued accepted accepted accepted,5,accepted
1-560404489,accepted queued queued accepted accepted accepted accepted,6,queued
1-563779807,accepted accepted,1,accepted
1-563779807,accepted accepted accepted,2,accepted
1-564738994,accepted accepted,1,accepted
1-564738994,accepted accepted accepted,2,completed
1-565905115,accepted accepted,1,completed
1-566661201,accepted accepted,1,completed
1-572078531,accepted queued,1,accepted
1-573830584,accepted accepted,1,accepted
1-573830584,accepted accepted accepted,2,accepted
1-573830584,accepted accepted accepted accepted,3,accepted
1-573830584,accepted accepted accepted accepted accepted,4,accepted
1-573830584,accepted accepted accepted accepted accepted accepted,5,accepted
1-573830584,accepted accepted accepted accepted accepted accepted accepted,6,accepted
1-573830584,accepted accepted accepted accepted accepted accepted accepted accepted,7,completed
1-574222268,accepted accepted,1,accepted
1-574222268,accepted accepted accepted,2,accepted
1-574222268,accepted accepted accepted accepted,3,accepted
1-574222268,accepted accepted accepted accepted accepted,4,completed
1-574623837,accepted accepted,1,accepted
1-574623837,accepted accepted accepted,2,completed
1-575690736,accepted accepted,1,accepted
1-575690736,accepted accepted accepted,2,completed
1-577996886,accepted queued,1,queued
1-577996886,accepted queued queued,2,queued
1-577996886,accepted queued queued queued,3,queued
1-577996886,accepted queued queued queued queued,4,accepted
1-577996886,accepted queued queued queued queued accepted,5,completed
1-578105842,accepted queued,1,queued
1-578612990,accepted accepted,1,queued
1-578612990,accepted accepted queued,2,accepted
1-578612990,accepted accepted queued accepted,3,accepted
1-578612990,accepted accepted queued accepted accepted,4,completed
1-579250167,accepted accepted,1,completed
1-580464971,accepted queued,1,accepted
1-580464971,accepted queued accepted,2,queued
1-580464971,accepted queued accepted queued,3,accepted
1-581898739,accepted queued,1,accepted
1-581898739,accepted queued accepted,2,queued
1-581898739,accepted queued accepted queued,3,queued
1-581898739,accepted queued accepted queued queued,4,queued
1-581898739,accepted queued accepted queued queued queued,5,accepted
1-581898739,accepted queued accepted queued queued queued accepted,6,completed
1-581898739,accepted queued accepted queued queued queued accepted completed,7,accepted
1-584776062,accepted accepted,1,completed
1-588712865,accepted queued,1,queued
1-588712865,accepted queued queued,2,accepted
1-588712865,accepted queued queued accepted,3,accepted
1-588712865,accepted queued queued accepted accepted,4,completed
1-589370341,accepted accepted,1,queued
1-589370341,accepted accepted queued,2,accepted
1-590574771,queued accepted,1,completed
1-590574771,queued accepted completed,2,accepted
1-590574771,queued accepted completed accepted,3,completed
1-591627183,accepted queued,1,accepted
1-591627183,accepted queued accepted,2,completed
1-594472343,accepted accepted,1,accepted
1-594472343,accepted accepted accepted,2,completed
1-595293983,queued accepted,1,completed
1-595293983,queued accepted completed,2,accepted
1-595293983,queued accepted completed accepted,3,completed
1-596251950,accepted accepted,1,accepted
1-596251950,accepted accepted accepted,2,completed
1-596608752,accepted accepted,1,completed
1-599157751,accepted queued,1,queued
1-599157751,accepted queued queued,2,accepted
1-599157751,accepted queued queued accepted,3,completed
1-599626401,queued accepted,1,completed
